State,Abbrev,Eagle_Pairs
Alabama,AL,100
Arizona,AZ,43
Arkansas,AR,80
California,CA,200
Colorado,CO,65
Connecticut,CT,15
Deleware,DE,43
Florida,FL,1166
Georgia,GA,113
Idaho,ID,216
Illinois,IL,135
Indiana,IN,79
Iowa,IA,210
Kansas,KS,29
Kentucky,KY,50
Louisiana,LA,337
Maine,ME,414
Maryland,MD,383
Massachusetts,MA,25
Michigan,MI,500
Minnesota,MN,1312
Mississippi,MS,31
Missouri,MO,150
Montana,MT,325
Nebraska,NE,44
Nevada,NV,5
New Hampshire,NH,12
New Jersey,NJ,65
New Mexico,NM,2
New York,NY,123
North Carolina,NC,41
North Dakota,ND,35
Ohio,OH,164
Oklahoma,OK,60
Oregon,OR,470
Pennsylvania,PA,106
Rhode Island,RI,1
South Carolina,SC,227
South Dakota,SD,46
Tennessee,TN,115
Texas,TX,160
Utah,UT,11
Vermont,VT,1
Virginia,VA,560
Washington,WA,835
West Virginia,WV,27
Wisconsin,WI,1065
Wyoming,WY,88
